review_id,product_id,reviewer_id,review_text,rating,date,is_fake
REV00383,Stainless Steel Water Bottle,R9083,AMAZING!!! Best product EVER!!! Buy it NOW!!!,5,2024-04-18 07:18:00,1
REV01680,Cable Organizer Box,R1753,"Great product, works exactly as described.",1,2024-03-05 06:00:00,0
REV00905,Neck Massager Electric,R9107,"Absolutely incredible, changed my life completely!",5,2024-03-30 04:17:00,1
REV01772,Silk Sleep Mask,R7976,"Good value for the price, would buy again.",3,2024-05-25 01:00:00,0
REV01503,Ring Light 10-inch,R2583,Not what I expected based on the photos.,3,2024-04-09 15:00:00,0
REV00820,USB-C Hub 7-Port,R9132,This is the greatest thing I have ever purchased!!!,5,2024-03-16 17:11:00,1
REV01462,Ring Light 10-inch,R8571,"Shipped fast, packaging was good, product works well.",4,2024-04-23 19:00:00,0
REV01636,Cable Organizer Box,R6105,"My kids love it, perfect size for them.",5,2024-04-26 22:00:00,0
REV01054,Smart Watch Fitness,R2384,"Great product, works exactly as described.",4,2024-02-24 23:00:00,0
REV00527,Wireless Mouse Slim,R3561,The smell is a bit odd but goes away after a day.,4,2024-02-10 10:00:00,0
REV01356,Coffee Grinder Manual,R4740,"Shipped fast, packaging was good, product works well.",4,2024-06-27 17:00:00,0
REV01619,Laptop Stand Aluminum,R2201,"Returned it, color was completely different.",1,2024-05-28 20:00:00,0
REV00586,Wireless Mouse Slim,R3686,"Best purchase I've made this year, highly recommend.",4,2024-06-12 12:00:00,0
REV00116,LED Desk Lamp Pro,R6566,"Average quality, expected better at this price point.",4,2024-03-12 11:00:00,0
REV01620,Laptop Stand Aluminum,R4194,Not what I expected based on the photos.,4,2024-06-18 04:00:00,0
REV01740,Silk Sleep Mask,R8902,"Shipped fast, packaging was good, product works well.",4,2024-05-27 17:00:00,0
REV01926,Resistance Bands Set,R4993,"Good value for the price, would buy again.",5,2024-04-20 04:00:00,0
REV01625,Laptop Stand Aluminum,R4024,"Best purchase I've made this year, highly recommend.",4,2024-04-13 04:00:00,0
REV01051,Smart Watch Fitness,R2096,"Broke after one month, disappointed.",5,2024-05-14 10:00:00,0
REV00257,Yoga Mat Ultra,R9116,Life changing product! Everyone should own one!!!,5,2024-04-15 13:36:00,1
REV01125,Smart Watch Fitness,R2086,"It's okay, does the job but nothing special.",5,2024-03-15 21:00:00,0
REV01405,Coffee Grinder Manual,R7357,"My kids love it, perfect size for them.",5,2024-02-17 00:00:00,0
REV01281,Foam Roller Set,R8893,Customer service was helpful when I had an issue.,4,2024-06-06 20:00:00,0
REV00951,Air Purifier Mini,R1607,"Good value for the price, would buy again.",5,2024-01-06 10:00:00,0
REV01289,Foam Roller Set,R1738,Works fine but the instructions are terrible.,2,2024-01-04 23:00:00,0
REV00121,LED Desk Lamp Pro,R6806,"Used it for two weeks now, still holding up.",3,2024-04-08 18:00:00,0
REV01371,Coffee Grinder Manual,R4730,"Good value for the price, would buy again.",2,2024-02-16 04:00:00,0
REV00299,Yoga Mat Ultra,R9075,Superb! Excellent! World class! Highly recommended!,5,2024-04-16 11:05:00,1
REV01508,Ring Light 10-inch,R5980,"Broke after one month, disappointed.",5,2024-03-04 13:00:00,0
REV02023,Bamboo Cutting Board,R3478,Customer service was helpful when I had an issue.,4,2024-01-02 08:00:00,0
REV00533,Wireless Mouse Slim,R3166,"Broke after one month, disappointed.",3,2024-01-03 03:00:00,0
REV00136,LED Desk Lamp Pro,R4892,"Great product, works exactly as described.",3,2024-02-07 00:00:00,0
REV01112,Smart Watch Fitness,R4395,"It's okay, does the job but nothing special.",2,2024-02-18 22:00:00,0
REV00568,Wireless Mouse Slim,R6043,"Good value for the price, would buy again.",3,2024-05-23 22:00:00,0
REV01997,Bamboo Cutting Board,R2292,"My kids love it, perfect size for them.",2,2024-03-19 10:00:00,0
REV00325,Stainless Steel Water Bottle,R2185,"Good value for the price, would buy again.",5,2024-06-01 00:00:00,0
REV01589,Laptop Stand Aluminum,R8727,"It's okay, does the job but nothing special.",3,2024-03-30 17:00:00,0
REV00742,USB-C Hub 7-Port,R8912,"Best purchase I've made this year, highly recommend.",4,2024-03-08 21:00:00,0
REV01867,Resistance Bands Set,R7264,"Returned it, color was completely different.",4,2024-05-11 06:00:00,0
REV01761,Silk Sleep Mask,R8576,"Very solid build quality, happy with my purchase.",5,2024-04-26 01:00:00,0
REV00110,LED Desk Lamp Pro,R3032,"Best purchase I've made this year, highly recommend.",5,2024-04-15 21:00:00,0
REV00317,Stainless Steel Water Bottle,R8007,Not what I expected based on the photos.,5,2024-02-25 14:00:00,0
REV01473,Ring Light 10-inch,R1545,"Average quality, expected better at this price point.",5,2024-01-14 14:00:00,0
REV00232,Yoga Mat Ultra,R8743,Not what I expected based on the photos.,4,2024-04-15 22:00:00,0
REV00255,Yoga Mat Ultra,R8908,"Great product, works exactly as described.",2,2024-02-08 15:00:00,0
REV01929,Resistance Bands Set,R5052,"Great product, works exactly as described.",4,2024-02-10 16:00:00,0
REV00651,Phone Stand Adjustable,R2248,Works fine but the instructions are terrible.,4,2024-05-29 18:00:00,0
REV00998,Air Purifier Mini,R1537,Customer service was helpful when I had an issue.,5,2024-04-05 01:00:00,0
REV01252,Foam Roller Set,R5838,The smell is a bit odd but goes away after a day.,4,2024-06-24 10:00:00,0
REV00695,Phone Stand Adjustable,R1762,"Very solid build quality, happy with my purchase.",4,2024-01-27 00:00:00,0
REV01256,Foam Roller Set,R1319,The smell is a bit odd but goes away after a day.,4,2024-02-15 15:00:00,0
REV01992,Bamboo Cutting Board,R1543,Works fine but the instructions are terrible.,3,2024-01-26 05:00:00,0
REV00671,Phone Stand Adjustable,R4320,"Returned it, color was completely different.",1,2024-06-16 20:00:00,0
REV01095,Smart Watch Fitness,R3278,"Used it for two weeks now, still holding up.",4,2024-05-05 10:00:00,0
REV00807,USB-C Hub 7-Port,R9076,Phenomenal quality! Buy it today you won't regret it!,5,2024-03-16 18:46:00,1
REV01710,Cable Organizer Box,R9174,Phenomenal quality! Buy it today you won't regret it!,5,2024-02-09 01:00:00,1
REV00417,Mechanical Keyboard RGB,R6168,"My kids love it, perfect size for them.",2,2024-03-27 21:00:00,0
REV01681,Cable Organizer Box,R9163,Marvelous! Stunning quality! Will buy 10 more!!!,5,2024-02-08 05:36:00,1
REV01069,Smart Watch Fitness,R1737,Not what I expected based on the photos.,3,2024-05-26 21:00:00,0
REV00290,Yoga Mat Ultra,R9158,This is the greatest thing I have ever purchased!!!,5,2024-04-16 05:54:00,1
REV01709,Cable Organizer Box,R9145,5 stars! Perfect in every way! Must buy immediately!,5,2024-02-09 17:49:00,1
REV01407,Coffee Grinder Manual,R5075,"Used it for two weeks now, still holding up.",4,2024-05-17 12:00:00,0
REV00890,Neck Massager Electric,R9150,Marvelous! Stunning quality! Will buy 10 more!!!,5,2024-03-28 11:28:00,1
REV01818,Silk Sleep Mask,R4966,"Returned it, color was completely different.",3,2024-03-19 05:00:00,0
REV01308,Foam Roller Set,R1873,"It's okay, does the job but nothing special.",3,2024-03-04 19:00:00,0
REV00856,Neck Massager Electric,R7426,"Used it for two weeks now, still holding up.",4,2024-01-03 11:00:00,0
REV02026,Bamboo Cutting Board,R4834,The smell is a bit odd but goes away after a day.,4,2024-05-08 15:00:00,0
REV00597,Wireless Mouse Slim,R4857,Works fine but the instructions are terrible.,4,2024-04-05 13:00:00,0
REV00234,Yoga Mat Ultra,R4311,"Very solid build quality, happy with my purchase.",5,2024-03-05 10:00:00,0
REV00439,Mechanical Keyboard RGB,R5953,"Best purchase I've made this year, highly recommend.",3,2024-04-17 05:00:00,0
REV00571,Wireless Mouse Slim,R6580,Works fine but the instructions are terrible.,4,2024-04-15 10:00:00,0
REV01502,Ring Light 10-inch,R2507,Works fine but the instructions are terrible.,5,2024-06-03 15:00:00,0
REV01101,Smart Watch Fitness,R6071,"Returned it, color was completely different.",4,2024-01-01 02:00:00,0
REV01330,Foam Roller Set,R1491,"Very solid build quality, happy with my purchase.",5,2024-01-13 12:00:00,0
REV00793,USB-C Hub 7-Port,R9166,"Absolutely incredible, changed my life completely!",5,2024-03-16 03:37:00,1
REV00050,Bluetooth Speaker X1,R4531,"Very solid build quality, happy with my purchase.",2,2024-04-14 06:00:00,0
REV00362,Stainless Steel Water Bottle,R9012,Marvelous! Stunning quality! Will buy 10 more!!!,5,2024-04-16 21:29:00,1
REV00573,Wireless Mouse Slim,R4896,The smell is a bit odd but goes away after a day.,5,2024-04-14 20:00:00,0
REV00530,Wireless Mouse Slim,R2762,Not what I expected based on the photos.,5,2024-04-10 16:00:00,0
REV01209,Portable Charger 20000mAh,R9165,"Absolutely incredible, changed my life completely!",5,2024-04-04 14:51:00,1
REV01522,Ring Light 10-inch,R7006,"Returned it, color was completely different.",3,2024-06-15 22:00:00,0
REV01129,Portable Charger 20000mAh,R5373,Works fine but the instructions are terrible.,5,2024-04-16 21:00:00,0
REV01901,Resistance Bands Set,R6628,"My kids love it, perfect size for them.",5,2024-03-13 14:00:00,0
REV00580,Wireless Mouse Slim,R6253,"Good value for the price, would buy again.",4,2024-01-28 10:00:00,0
REV00174,LED Desk Lamp Pro,R6657,"Used it for two weeks now, still holding up.",2,2024-04-11 22:00:00,0
REV00298,Yoga Mat Ultra,R9042,WOW! Exceeded ALL expectations! 10/10 recommend!!!,5,2024-04-17 20:30:00,1
REV00814,USB-C Hub 7-Port,R9192,"Absolutely incredible, changed my life completely!",5,2024-03-15 13:43:00,1
REV00434,Mechanical Keyboard RGB,R6001,"Used it for two weeks now, still holding up.",5,2024-06-22 23:00:00,0
REV01593,Laptop Stand Aluminum,R4493,"Broke after one month, disappointed.",2,2024-01-13 03:00:00,0
REV00240,Yoga Mat Ultra,R5512,Works fine but the instructions are terrible.,3,2024-06-04 07:00:00,0
REV01243,Foam Roller Set,R2996,"Best purchase I've made this year, highly recommend.",4,2024-02-11 20:00:00,0
REV01660,Cable Organizer Box,R1691,"Best purchase I've made this year, highly recommend.",1,2024-02-16 16:00:00,0
REV00024,Bluetooth Speaker X1,R3965,The smell is a bit odd but goes away after a day.,4,2024-05-29 13:00:00,0
REV00555,Wireless Mouse Slim,R2131,Works fine but the instructions are terrible.,2,2024-04-30 23:00:00,0
REV00064,Bluetooth Speaker X1,R9073,Superb! Excellent! World class! Highly recommended!,5,2024-03-17 12:12:00,1
REV01262,Foam Roller Set,R3085,"Very solid build quality, happy with my purchase.",4,2024-06-27 18:00:00,0
REV00189,LED Desk Lamp Pro,R4329,"Very solid build quality, happy with my purchase.",3,2024-05-12 06:00:00,0
REV01833,Silk Sleep Mask,R3523,"Average quality, expected better at this price point.",4,2024-01-11 04:00:00,0
REV00866,Neck Massager Electric,R5140,"Very solid build quality, happy with my purchase.",4,2024-04-27 23:00:00,0
REV01158,Portable Charger 20000mAh,R2997,"My kids love it, perfect size for them.",5,2024-03-02 20:00:00,0
REV00611,Wireless Mouse Slim,R4443,Works fine but the instructions are terrible.,5,2024-02-04 20:00:00,0
REV00556,Wireless Mouse Slim,R6424,Customer service was helpful when I had an issue.,4,2024-05-12 06:00:00,0
REV01655,Cable Organizer Box,R3064,"Best purchase I've made this year, highly recommend.",5,2024-05-09 02:00:00,0
REV00988,Air Purifier Mini,R5986,"Broke after one month, disappointed.",3,2024-02-14 08:00:00,0
REV00197,LED Desk Lamp Pro,R6653,Customer service was helpful when I had an issue.,5,2024-01-31 23:00:00,0
REV00486,Mechanical Keyboard RGB,R2256,"My kids love it, perfect size for them.",1,2024-04-02 12:00:00,0
REV00343,Stainless Steel Water Bottle,R4066,"It's okay, does the job but nothing special.",5,2024-03-21 13:00:00,0
REV01035,Smart Watch Fitness,R8286,"My kids love it, perfect size for them.",2,2024-05-29 18:00:00,0
REV00345,Stainless Steel Water Bottle,R7052,"Broke after one month, disappointed.",2,2024-01-22 02:00:00,0
REV00454,Mechanical Keyboard RGB,R1514,"Returned it, color was completely different.",4,2024-04-17 20:00:00,0
REV00101,Bluetooth Speaker X1,R9009,Life changing product! Everyone should own one!!!,5,2024-03-16 20:21:00,1
REV01682,Cable Organizer Box,R9022,5 stars! Perfect in every way! Must buy immediately!,5,2024-02-07 16:37:00,1
REV00412,Stainless Steel Water Bottle,R9129,5 stars! Perfect in every way! Must buy immediately!,5,2024-04-17 22:53:00,1
REV01974,Bamboo Cutting Board,R4194,"Best purchase I've made this year, highly recommend.",4,2024-03-21 10:00:00,0
REV00221,Yoga Mat Ultra,R8546,Works fine but the instructions are terrible.,5,2024-03-19 19:00:00,0
